sepal.length,sepal.width,petal.length,petal.width,variety,sepal.ratio,sepal.length.inches
5.1,3.3,1.7,0.5,Iris-setosa,1.5454545454545454,2.0078751
4.8,3.4,1.9,0.2,Iris-setosa,1.411764705882353,1.8897648
5.0,3.0,1.6,0.2,Iris-setosa,1.6666666666666667,1.9685050000000002
5.0,3.4,1.6,0.4,Iris-setosa,1.4705882352941178,1.9685050000000002
5.2,3.5,1.5,0.2,Iris-setosa,1.4857142857142858,2.0472452000000003
5.2,3.4,1.4,0.2,Iris-setosa,1.5294117647058825,2.0472452000000003
4.7,3.2,1.6,0.2,Iris-setosa,1.46875,1.8503947000000003
4.8,3.1,1.6,0.2,Iris-setosa,1.5483870967741935,1.8897648
5.4,3.4,1.5,0.4,Iris-setosa,1.5882352941176472,2.1259854000000002
5.2,4.1,1.5,0.1,Iris-setosa,1.2682926829268295,2.0472452000000003
5.5,4.2,1.4,0.2,Iris-setosa,1.3095238095238095,2.1653555
4.9,3.1,1.5,0.1,Iris-setosa,1.5806451612903227,1.9291349000000002
5.0,3.2,1.2,0.2,Iris-setosa,1.5625,1.9685050000000002
5.5,3.5,1.3,0.2,Iris-setosa,1.5714285714285714,2.1653555
4.9,3.1,1.5,0.1,Iris-setosa,1.5806451612903227,1.9291349000000002
4.4,3.0,1.3,0.2,Iris-setosa,1.4666666666666668,1.7322844000000002
5.1,3.4,1.5,0.2,Iris-setosa,1.5,2.0078751
5.0,3.5,1.3,0.3,Iris-setosa,1.4285714285714286,1.9685050000000002
4.5,2.3,1.3,0.3,Iris-setosa,1.956521739130435,1.7716545000000001
4.4,3.2,1.3,0.2,Iris-setosa,1.375,1.7322844000000002
5.0,3.5,1.6,0.6,Iris-setosa,1.4285714285714286,1.9685050000000002
5.1,3.8,1.9,0.4,Iris-setosa,1.3421052631578947,2.0078751
4.8,3.0,1.4,0.3,Iris-setosa,1.5999999999999999,1.8897648
5.1,3.8,1.6,0.2,Iris-setosa,1.3421052631578947,2.0078751
4.6,3.2,1.4,0.2,Iris-setosa,1.4374999999999998,1.8110245999999999
5.3,3.7,1.5,0.2,Iris-setosa,1.4324324324324322,2.0866153
5.0,3.3,1.4,0.2,Iris-setosa,1.5151515151515151,1.9685050000000002
7.0,3.2,4.7,1.4,Iris-versicolor,2.1875,2.755907
6.4,3.2,4.5,1.5,Iris-versicolor,2.0,2.5196864000000003
6.9,3.1,4.9,1.5,Iris-versicolor,2.2258064516129035,2.7165369000000004
5.5,2.3,4.0,1.3,Iris-versicolor,2.3913043478260874,2.1653555
6.5,2.8,4.6,1.5,Iris-versicolor,2.3214285714285716,2.5590565
5.7,2.8,4.5,1.3,Iris-versicolor,2.035714285714286,2.2440957000000004
6.3,3.3,4.7,1.6,Iris-versicolor,1.9090909090909092,2.4803163
4.9,2.4,3.3,1.0,Iris-versicolor,2.041666666666667,1.9291349000000002
6.6,2.9,4.6,1.3,Iris-versicolor,2.2758620689655173,2.5984266
5.2,2.7,3.9,1.4,Iris-versicolor,1.9259259259259258,2.0472452000000003
5.0,2.0,3.5,1.0,Iris-versicolor,2.5,1.9685050000000002
5.9,3.0,4.2,1.5,Iris-versicolor,1.9666666666666668,2.3228359000000003
6.0,2.2,4.0,1.0,Iris-versicolor,2.727272727272727,2.362206
6.1,2.9,4.7,1.4,Iris-versicolor,2.103448275862069,2.4015761
5.6,2.9,3.6,1.3,Iris-versicolor,1.9310344827586206,2.2047256
6.7,3.1,4.4,1.4,Iris-versicolor,2.161290322580645,2.6377967000000004
5.6,3.0,4.5,1.5,Iris-versicolor,1.8666666666666665,2.2047256
5.8,2.7,4.1,1.0,Iris-versicolor,2.148148148148148,2.2834658
6.2,2.2,4.5,1.5,Iris-versicolor,2.818181818181818,2.4409462000000004
5.6,2.5,3.9,1.1,Iris-versicolor,2.2399999999999998,2.2047256
5.9,3.2,4.8,1.8,Iris-versicolor,1.84375,2.3228359000000003
6.1,2.8,4.0,1.3,Iris-versicolor,2.1785714285714284,2.4015761
6.3,2.5,4.9,1.5,Iris-versicolor,2.52,2.4803163
6.1,2.8,4.7,1.2,Iris-versicolor,2.1785714285714284,2.4015761
6.4,2.9,4.3,1.3,Iris-versicolor,2.206896551724138,2.5196864000000003
6.6,3.0,4.4,1.4,Iris-versicolor,2.1999999999999997,2.5984266
6.8,2.8,4.8,1.4,Iris-versicolor,2.428571428571429,2.6771668
6.7,3.0,5.0,1.7,Iris-versicolor,2.2333333333333334,2.6377967000000004
6.0,2.9,4.5,1.5,Iris-versicolor,2.0689655172413794,2.362206
5.7,2.6,3.5,1.0,Iris-versicolor,2.1923076923076925,2.2440957000000004
5.5,2.4,3.8,1.1,Iris-versicolor,2.291666666666667,2.1653555
5.5,2.4,3.7,1.0,Iris-versicolor,2.291666666666667,2.1653555
5.8,2.7,3.9,1.2,Iris-versicolor,2.148148148148148,2.2834658
6.0,2.7,5.1,1.6,Iris-versicolor,2.222222222222222,2.362206
5.4,3.0,4.5,1.5,Iris-versicolor,1.8,2.1259854000000002
6.0,3.4,4.5,1.6,Iris-versicolor,1.7647058823529411,2.362206
6.7,3.1,4.7,1.5,Iris-versicolor,2.161290322580645,2.6377967000000004
6.3,2.3,4.4,1.3,Iris-versicolor,2.739130434782609,2.4803163
5.6,3.0,4.1,1.3,Iris-versicolor,1.8666666666666665,2.2047256
5.5,2.5,4.0,1.3,Iris-versicolor,2.2,2.1653555
5.5,2.6,4.4,1.2,Iris-versicolor,2.1153846153846154,2.1653555
6.1,3.0,4.6,1.4,Iris-versicolor,2.033333333333333,2.4015761
5.8,2.6,4.0,1.2,Iris-versicolor,2.230769230769231,2.2834658
5.0,2.3,3.3,1.0,Iris-versicolor,2.173913043478261,1.9685050000000002
5.6,2.7,4.2,1.3,Iris-versicolor,2.074074074074074,2.2047256
5.7,3.0,4.2,1.2,Iris-versicolor,1.9000000000000001,2.2440957000000004
5.7,2.9,4.2,1.3,Iris-versicolor,1.9655172413793105,2.2440957000000004
6.2,2.9,4.3,1.3,Iris-versicolor,2.137931034482759,2.4409462000000004
5.1,2.5,3.0,1.1,Iris-versicolor,2.04,2.0078751
5.7,2.8,4.1,1.3,Iris-versicolor,2.035714285714286,2.2440957000000004
6.3,3.3,6.0,2.5,Iris-virginica,1.9090909090909092,2.4803163
5.8,2.7,5.1,1.9,Iris-virginica,2.148148148148148,2.2834658
7.1,3.0,5.9,2.1,Iris-virginica,2.3666666666666667,2.7952771
6.3,2.9,5.6,1.8,Iris-virginica,2.1724137931034484,2.4803163
6.5,3.0,5.8,2.2,Iris-virginica,2.1666666666666665,2.5590565
7.6,3.0,6.6,2.1,Iris-virginica,2.533333333333333,2.9921276
4.9,2.5,4.5,1.7,Iris-virginica,1.9600000000000002,1.9291349000000002
7.3,2.9,6.3,1.8,Iris-virginica,2.5172413793103448,2.8740173
6.7,2.5,5.8,1.8,Iris-virginica,2.68,2.6377967000000004
7.2,3.6,6.1,2.5,Iris-virginica,2.0,2.8346472
6.5,3.2,5.1,2.0,Iris-virginica,2.03125,2.5590565
6.4,2.7,5.3,1.9,Iris-virginica,2.3703703703703702,2.5196864000000003
6.8,3.0,5.5,2.1,Iris-virginica,2.2666666666666666,2.6771668
5.7,2.5,5.0,2.0,Iris-virginica,2.2800000000000002,2.2440957000000004
5.8,2.8,5.1,2.4,Iris-virginica,2.0714285714285716,2.2834658
6.4,3.2,5.3,2.3,Iris-virginica,2.0,2.5196864000000003
6.5,3.0,5.5,1.8,Iris-virginica,2.1666666666666665,2.5590565
7.7,3.8,6.7,2.2,Iris-virginica,2.0263157894736845,3.0314977
7.7,2.6,6.9,2.3,Iris-virginica,2.9615384615384617,3.0314977
6.0,2.2,5.0,1.5,Iris-virginica,2.727272727272727,2.362206
6.9,3.2,5.7,2.3,Iris-virginica,2.15625,2.7165369000000004
5.6,2.8,4.9,2.0,Iris-virginica,2.0,2.2047256
7.7,2.8,6.7,2.0,Iris-virginica,2.7500000000000004,3.0314977
6.3,2.7,4.9,1.8,Iris-virginica,2.333333333333333,2.4803163
6.7,3.3,5.7,2.1,Iris-virginica,2.0303030303030303,2.6377967000000004
7.2,3.2,6.0,1.8,Iris-virginica,2.25,2.8346472
6.2,2.8,4.8,1.8,Iris-virginica,2.2142857142857144,2.4409462000000004
6.1,3.0,4.9,1.8,Iris-virginica,2.033333333333333,2.4015761
6.4,2.8,5.6,2.1,Iris-virginica,2.285714285714286,2.5196864000000003
7.2,3.0,5.8,1.6,Iris-virginica,2.4,2.8346472
7.4,2.8,6.1,1.9,Iris-virginica,2.6428571428571432,2.9133874000000004
7.9,3.8,6.4,2.0,Iris-virginica,2.0789473684210527,3.1102379000000004
6.4,2.8,5.6,2.2,Iris-virginica,2.285714285714286,2.5196864000000003
6.3,2.8,5.1,1.5,Iris-virginica,2.25,2.4803163
6.1,2.6,5.6,1.4,Iris-virginica,2.346153846153846,2.4015761
7.7,3.0,6.1,2.3,Iris-virginica,2.566666666666667,3.0314977
6.3,3.4,5.6,2.4,Iris-virginica,1.8529411764705883,2.4803163
6.4,3.1,5.5,1.8,Iris-virginica,2.064516129032258,2.5196864000000003
6.0,3.0,4.8,1.8,Iris-virginica,2.0,2.362206
6.9,3.1,5.4,2.1,Iris-virginica,2.2258064516129035,2.7165369000000004
6.7,3.1,5.6,2.4,Iris-virginica,2.161290322580645,2.6377967000000004
6.9,3.1,5.1,2.3,Iris-virginica,2.2258064516129035,2.7165369000000004
5.8,2.7,5.1,1.9,Iris-virginica,2.148148148148148,2.2834658
6.8,3.2,5.9,2.3,Iris-virginica,2.125,2.6771668
6.7,3.3,5.7,2.5,Iris-virginica,2.0303030303030303,2.6377967000000004
6.7,3.0,5.2,2.3,Iris-virginica,2.2333333333333334,2.6377967000000004
6.3,2.5,5.0,1.9,Iris-virginica,2.52,2.4803163
6.5,3.0,5.2,2.0,Iris-virginica,2.1666666666666665,2.5590565
6.2,3.4,5.4,2.3,Iris-virginica,1.823529411764706,2.4409462000000004
5.9,3.0,5.1,1.8,Iris-virginica,1.9666666666666668,2.3228359000000003
